date,open,high,low,close,volume,average,barCount,expiry,dataMonth
2022-12-14 06:30:00-08:00,76.75,76.9,76.71,76.89,130.0,76.788,82,202303,202212
2022-12-14 06:35:00-08:00,76.92,76.94,76.7,76.85,74.0,76.84,63,202303,202212
2022-12-14 06:40:00-08:00,76.86,76.98,76.86,76.97,75.0,76.932,60,202303,202212
2022-12-14 06:45:00-08:00,76.95,77.0,76.75,76.89,147.0,76.896,114,202303,202212
2022-12-14 06:50:00-08:00,76.89,76.96,76.85,76.93,161.0,76.912,118,202303,202212
2022-12-14 06:55:00-08:00,76.94,77.05,76.82,76.89,258.0,76.927,159,202303,202212
2022-12-14 07:00:00-08:00,76.91,77.0,76.87,76.94,120.0,76.932,88,202303,202212
2022-12-14 07:05:00-08:00,76.96,76.96,76.57,76.57,198.0,76.775,118,202303,202212
2022-12-14 07:10:00-08:00,76.59,76.77,76.54,76.69,223.0,76.674,137,202303,202212
2022-12-14 07:15:00-08:00,76.7,76.85,76.69,76.84,72.0,76.743,59,202303,202212
2022-12-14 07:20:00-08:00,76.84,76.87,76.63,76.72,195.0,76.738,138,202303,202212
2022-12-14 07:25:00-08:00,76.73,76.75,76.59,76.69,120.0,76.68,88,202303,202212
2022-12-14 07:30:00-08:00,76.66,76.66,75.83,76.38,786.0,76.147,439,202303,202212
2022-12-14 07:35:00-08:00,76.36,76.56,76.27,76.54,291.0,76.413,213,202303,202212
2022-12-14 07:40:00-08:00,76.52,76.9,76.4,76.84,192.0,76.665,147,202303,202212
2022-12-14 07:45:00-08:00,76.82,76.82,76.66,76.68,117.0,76.747,85,202303,202212
2022-12-14 07:50:00-08:00,76.69,76.86,76.6,76.61,72.0,76.721,66,202303,202212
2022-12-14 07:55:00-08:00,76.66,76.87,76.65,76.87,154.0,76.71,118,202303,202212
2022-12-14 08:00:00-08:00,76.88,77.1,76.87,76.96,172.0,76.966,114,202303,202212
2022-12-14 08:05:00-08:00,76.97,77.07,76.94,77.06,233.0,77.032,148,202303,202212
2022-12-14 08:10:00-08:00,77.02,77.26,76.98,77.25,301.0,77.16,221,202303,202212
2022-12-14 08:15:00-08:00,77.25,77.57,77.23,77.55,352.0,77.44,187,202303,202212
2022-12-14 08:20:00-08:00,77.53,77.59,77.46,77.5,200.0,77.525,103,202303,202212
2022-12-14 08:25:00-08:00,77.52,77.6,77.38,77.44,343.0,77.497,233,202303,202212
2022-12-14 08:30:00-08:00,77.38,77.51,77.28,77.28,186.0,77.355,120,202303,202212
2022-12-14 08:35:00-08:00,77.31,77.32,77.2,77.25,70.0,77.254,52,202303,202212
2022-12-14 08:40:00-08:00,77.29,77.39,77.19,77.32,89.0,77.303,66,202303,202212
2022-12-14 08:45:00-08:00,77.33,77.35,77.12,77.26,239.0,77.272,151,202303,202212
2022-12-14 08:50:00-08:00,77.29,77.36,77.22,77.31,81.0,77.283,59,202303,202212
2022-12-14 08:55:00-08:00,77.32,77.4,77.27,77.38,183.0,77.323,114,202303,202212
2022-12-14 09:00:00-08:00,77.44,77.48,77.37,77.37,111.0,77.428,65,202303,202212
2022-12-14 09:05:00-08:00,77.35,77.45,77.34,77.42,64.0,77.402,45,202303,202212
2022-12-14 09:10:00-08:00,77.42,77.46,77.37,77.4,69.0,77.401,40,202303,202212
2022-12-14 09:15:00-08:00,77.45,77.51,77.45,77.49,114.0,77.49,77,202303,202212
2022-12-14 09:20:00-08:00,77.5,77.53,77.42,77.45,145.0,77.49,82,202303,202212
2022-12-14 09:25:00-08:00,77.46,77.7,77.46,77.58,215.0,77.584,145,202303,202212
2022-12-14 09:30:00-08:00,77.58,77.64,77.57,77.6,128.0,77.604,78,202303,202212
2022-12-14 09:35:00-08:00,77.63,77.7,77.62,77.65,76.0,77.657,45,202303,202212
2022-12-14 09:40:00-08:00,77.66,77.75,77.65,77.7,113.0,77.7,63,202303,202212
2022-12-14 09:45:00-08:00,77.68,77.72,77.62,77.62,75.0,77.687,47,202303,202212
2022-12-14 09:50:00-08:00,77.65,77.71,77.63,77.65,69.0,77.676,56,202303,202212
2022-12-14 09:55:00-08:00,77.63,77.67,77.56,77.57,126.0,77.617,83,202303,202212
2022-12-14 10:00:00-08:00,77.57,77.68,77.57,77.68,73.0,77.646,55,202303,202212
2022-12-14 10:05:00-08:00,77.68,77.7,77.61,77.62,64.0,77.653,41,202303,202212
2022-12-14 10:10:00-08:00,77.64,77.64,77.52,77.54,120.0,77.555,77,202303,202212
2022-12-14 10:15:00-08:00,77.54,77.56,77.48,77.5,92.0,77.514,58,202303,202212
2022-12-14 10:20:00-08:00,77.49,77.61,77.48,77.58,75.0,77.544,50,202303,202212
2022-12-14 10:25:00-08:00,77.57,77.6,77.55,77.55,31.0,77.574,17,202303,202212
2022-12-14 10:30:00-08:00,77.54,77.6,77.52,77.54,69.0,77.555,46,202303,202212
2022-12-14 10:35:00-08:00,77.55,77.62,77.53,77.61,58.0,77.586,48,202303,202212
2022-12-14 10:40:00-08:00,77.61,77.7,77.61,77.7,98.0,77.657,66,202303,202212
2022-12-14 10:45:00-08:00,77.69,77.69,77.54,77.59,79.0,77.599,55,202303,202212
2022-12-14 10:50:00-08:00,77.59,77.61,77.49,77.53,89.0,77.568,59,202303,202212
2022-12-14 10:55:00-08:00,77.52,77.52,77.3,77.35,96.0,77.417,44,202303,202212
2022-12-14 11:00:00-08:00,77.37,77.37,77.07,77.3,313.0,77.203,182,202303,202212
2022-12-14 11:05:00-08:00,77.24,77.3,77.06,77.07,186.0,77.164,132,202303,202212
2022-12-14 11:10:00-08:00,77.09,77.41,77.05,77.36,101.0,77.256,82,202303,202212
2022-12-14 11:15:00-08:00,77.37,77.48,77.26,77.39,134.0,77.369,107,202303,202212
2022-12-14 11:20:00-08:00,77.36,77.44,77.25,77.27,127.0,77.344,88,202303,202212
2022-12-14 11:25:00-08:00,77.23,77.45,77.05,77.32,770.0,77.307,581,202303,202212
2022-12-14 11:30:00-08:00,77.29,77.61,77.21,77.29,492.0,77.402,334,202303,202212
2022-12-14 11:35:00-08:00,77.28,77.29,77.11,77.17,157.0,77.211,86,202303,202212
2022-12-14 11:40:00-08:00,77.19,77.4,77.1,77.39,175.0,77.267,87,202303,202212
2022-12-14 11:45:00-08:00,77.41,77.49,77.29,77.43,263.0,77.443,112,202303,202212
2022-12-14 11:50:00-08:00,77.44,77.44,77.35,77.4,90.0,77.38,35,202303,202212
2022-12-14 11:55:00-08:00,77.39,77.44,77.37,77.42,18.0,77.407,14,202303,202212
2022-12-14 12:00:00-08:00,77.44,77.58,77.44,77.51,64.0,77.515,56,202303,202212
2022-12-14 12:05:00-08:00,77.49,77.56,77.47,77.54,21.0,77.506,19,202303,202212
2022-12-14 12:10:00-08:00,77.55,77.78,77.55,77.69,103.0,77.715,56,202303,202212
2022-12-14 12:15:00-08:00,77.69,77.7,77.59,77.62,61.0,77.62,36,202303,202212
2022-12-14 12:20:00-08:00,77.62,77.62,77.51,77.55,66.0,77.584,46,202303,202212
2022-12-14 12:25:00-08:00,77.55,77.55,77.38,77.38,39.0,77.492,25,202303,202212
2022-12-14 12:30:00-08:00,77.35,77.44,77.33,77.44,48.0,77.379,40,202303,202212
2022-12-14 12:35:00-08:00,77.47,77.51,77.46,77.51,9.0,77.481,7,202303,202212
2022-12-14 12:40:00-08:00,77.44,77.48,77.39,77.39,57.0,77.443,31,202303,202212
2022-12-14 12:45:00-08:00,77.42,77.49,77.4,77.42,67.0,77.437,30,202303,202212
2022-12-14 12:50:00-08:00,77.48,77.52,77.47,77.51,15.0,77.5,7,202303,202212
2022-12-14 12:55:00-08:00,77.47,77.47,77.43,77.45,43.0,77.46,27,202303,202212
2022-12-14 13:00:00-08:00,77.42,77.42,77.39,77.39,18.0,77.415,12,202303,202212
2022-12-14 13:05:00-08:00,77.42,77.48,77.42,77.48,5.0,77.462,5,202303,202212
2022-12-14 13:10:00-08:00,77.48,77.48,77.37,77.39,44.0,77.422,24,202303,202212
2022-12-14 13:15:00-08:00,77.38,77.42,77.38,77.42,6.0,77.403,4,202303,202212
2022-12-14 13:20:00-08:00,77.44,77.44,77.43,77.44,8.0,77.436,7,202303,202212
2022-12-14 13:25:00-08:00,77.46,77.5,77.45,77.47,30.0,77.47,23,202303,202212
2022-12-14 13:30:00-08:00,77.5,77.5,77.45,77.45,12.0,77.482,7,202303,202212
2022-12-14 13:35:00-08:00,77.47,77.47,77.45,77.45,9.0,77.452,5,202303,202212
2022-12-14 13:40:00-08:00,77.42,77.44,77.41,77.41,13.0,77.418,13,202303,202212
2022-12-14 13:45:00-08:00,77.39,77.41,77.39,77.41,7.0,77.401,7,202303,202212
2022-12-14 13:50:00-08:00,77.45,77.49,77.44,77.44,11.0,77.465,9,202303,202212
2022-12-14 13:55:00-08:00,77.41,77.45,77.41,77.45,4.0,77.438,4,202303,202212
