date,open,high,low,close,volume,average,barCount,expiry,dataMonth
2023-06-07 06:30:00-07:00,2.32,2.323,2.317,2.318,1238.0,2.319,610,202307,202306
2023-06-07 06:35:00-07:00,2.318,2.32,2.312,2.316,995.0,2.316,482,202307,202306
2023-06-07 06:40:00-07:00,2.317,2.323,2.312,2.323,713.0,2.3178,340,202307,202306
2023-06-07 06:45:00-07:00,2.322,2.329,2.318,2.326,865.0,2.3243,395,202307,202306
2023-06-07 06:50:00-07:00,2.327,2.327,2.316,2.322,685.0,2.3218,319,202307,202306
2023-06-07 06:55:00-07:00,2.322,2.326,2.32,2.326,604.0,2.3233,248,202307,202306
2023-06-07 07:00:00-07:00,2.326,2.327,2.315,2.316,777.0,2.3213,357,202307,202306
2023-06-07 07:05:00-07:00,2.317,2.334,2.316,2.332,983.0,2.3245,400,202307,202306
2023-06-07 07:10:00-07:00,2.331,2.339,2.326,2.329,726.0,2.3323,318,202307,202306
2023-06-07 07:15:00-07:00,2.329,2.335,2.326,2.331,894.0,2.3305,333,202307,202306
2023-06-07 07:20:00-07:00,2.331,2.333,2.327,2.327,948.0,2.3291,342,202307,202306
2023-06-07 07:25:00-07:00,2.328,2.33,2.324,2.325,505.0,2.3272,203,202307,202306
2023-06-07 07:30:00-07:00,2.325,2.329,2.323,2.324,737.0,2.3256,286,202307,202306
2023-06-07 07:35:00-07:00,2.324,2.325,2.312,2.318,1184.0,2.3182,449,202307,202306
2023-06-07 07:40:00-07:00,2.318,2.318,2.305,2.311,1278.0,2.3105,537,202307,202306
2023-06-07 07:45:00-07:00,2.31,2.313,2.304,2.306,604.0,2.308,297,202307,202306
2023-06-07 07:50:00-07:00,2.306,2.307,2.282,2.285,2309.0,2.2929,1002,202307,202306
2023-06-07 07:55:00-07:00,2.286,2.291,2.27,2.281,2325.0,2.2798,975,202307,202306
2023-06-07 08:00:00-07:00,2.281,2.293,2.276,2.291,1389.0,2.2828,532,202307,202306
2023-06-07 08:05:00-07:00,2.29,2.292,2.284,2.288,484.0,2.2882,226,202307,202306
2023-06-07 08:10:00-07:00,2.289,2.297,2.287,2.296,616.0,2.2928,258,202307,202306
2023-06-07 08:15:00-07:00,2.296,2.3,2.295,2.296,572.0,2.297,233,202307,202306
2023-06-07 08:20:00-07:00,2.297,2.304,2.296,2.304,511.0,2.3007,217,202307,202306
2023-06-07 08:25:00-07:00,2.304,2.31,2.299,2.303,852.0,2.3053,344,202307,202306
2023-06-07 08:30:00-07:00,2.303,2.305,2.297,2.298,359.0,2.3029,167,202307,202306
2023-06-07 08:35:00-07:00,2.298,2.301,2.293,2.296,413.0,2.2982,200,202307,202306
2023-06-07 08:40:00-07:00,2.296,2.325,2.296,2.315,1474.0,2.3146,617,202307,202306
2023-06-07 08:45:00-07:00,2.316,2.323,2.314,2.32,765.0,2.3188,363,202307,202306
2023-06-07 08:50:00-07:00,2.32,2.328,2.318,2.323,825.0,2.3225,351,202307,202306
2023-06-07 08:55:00-07:00,2.322,2.323,2.313,2.322,606.0,2.3183,265,202307,202306
2023-06-07 09:00:00-07:00,2.322,2.325,2.319,2.322,483.0,2.3221,215,202307,202306
2023-06-07 09:05:00-07:00,2.322,2.322,2.311,2.315,617.0,2.3155,275,202307,202306
2023-06-07 09:10:00-07:00,2.315,2.321,2.312,2.316,480.0,2.3164,203,202307,202306
2023-06-07 09:15:00-07:00,2.317,2.325,2.317,2.319,539.0,2.3211,217,202307,202306
2023-06-07 09:20:00-07:00,2.319,2.323,2.319,2.321,352.0,2.3213,161,202307,202306
2023-06-07 09:25:00-07:00,2.321,2.324,2.319,2.319,322.0,2.3218,164,202307,202306
2023-06-07 09:30:00-07:00,2.32,2.324,2.304,2.306,846.0,2.3132,351,202307,202306
2023-06-07 09:35:00-07:00,2.305,2.315,2.304,2.31,701.0,2.3093,249,202307,202306
